Zip,Latitude,Longitude
10072,40.780751,-73.977182
10166,40.754591,-73.976238
10268,40.780751,-73.977182
11417,40.675534000000006,-73.84476
11418,40.698485,-73.83365
11210,40.627946,-73.94552
10012,40.72596,-73.99834
10094,40.780751,-73.977182
10259,40.780751,-73.977182
10308,40.551353000000006,-74.15098
10039,40.826181,-73.9371
11372,40.750146,-73.88433
11367,40.728614,-73.82145
10138,40.780751,-73.977182
10160,40.780751,-73.977182
10422,40.828278999999995,-73.869454
11211,40.71209,-73.95427
10149,40.780751,-73.977182
11238,40.680145,-73.96257
10040,40.858703999999996,-73.92853000000001
10017,40.752159000000006,-73.97231
10099,40.780751,-73.977182
10286,40.714231,-74.011895
11360,40.780386,-73.78005
10162,40.769334,-73.94893
11218,40.644552000000004,-73.97595
11233,40.676938,-73.91858
11368,40.747106,-73.85838000000001
11697,40.560167,-73.90890999999999
11222,40.726302000000004,-73.94559
11252,40.645099,-73.945032
10466,40.89095,-73.84702
10123,40.751489,-73.990537
10310,40.63212,-74.11551
10168,40.751933,-73.976794
11219,40.632449,-73.99629
10048,40.712086,-74.01227
11254,40.645099,-73.945032
11433,40.696538000000004,-73.78734
10121,40.74964,-73.991889
10110,40.753987,-73.980811
10177,40.755345,-73.97609
10007,40.714754,-74.00721
11364,40.746718,-73.75994
10276,40.780751,-73.977182
10037,40.813385,-73.93616
10026,40.802853000000006,-73.95470999999999
10250,40.709387,-74.016529
11692,40.592939,-73.79568
10130,40.780751,-73.977182
10060,40.780751,-73.977182
11385,40.703069,-73.89285
10102,40.780751,-73.977182
10475,40.878522,-73.82540999999999
10176,40.75557,-73.978877
11255,40.645099,-73.945032
11202,40.645099,-73.945032
10118,40.748998,-73.986467
10116,40.780751,-73.977182
11375,40.720535,-73.84581999999999
11237,40.703355,-73.91993000000001
11411,40.693538000000004,-73.73574
10453,40.853017,-73.91214000000001
10081,40.780751,-73.977182
10163,40.780751,-73.977182
10109,40.780751,-73.977182
10080,40.780751,-73.977182
10029,40.791585999999995,-73.94575
10044,40.762174,-73.94917
11120,40.651378,-73.870779
11415,40.706903000000004,-73.82973
10465,40.825727,-73.81752
10010,40.739022,-73.98205
10119,40.750824,-73.99289
11420,40.673138,-73.81443
10455,40.815559,-73.90771
11248,40.645099,-73.945032
10122,40.751757,-73.992171
10114,40.780751,-73.977182
10131,40.780751,-73.977182
11102,40.771285999999996,-73.92461999999999
10011,40.741012,-74.00012
11451,40.651378,-73.870779
10468,40.867107,-73.89916
10203,40.780751,-73.977182
11378,40.724096,-73.90271
10459,40.825432,-73.89327
10018,40.755101,-73.99337
11228,40.617563,-74.01168
10457,40.846745,-73.89860999999999
10016,40.746179999999995,-73.97759
10456,40.829676,-73.90856
10159,40.780751,-73.977182
10278,40.715721,-74.00395
11230,40.622994,-73.96427
11106,40.762012,-73.93146999999999
10126,40.780751,-73.977182
11240,40.645099,-73.945032
10452,40.838745,-73.92234
10471,40.900819,-73.90347
10281,40.714643,-74.014958
11244,40.645099,-73.945032
10256,40.780751,-73.977182
10014,40.734718,-74.00532
11381,40.651378,-73.870779
10106,40.765243,-73.980438
11104,40.743796,-73.91949
10178,40.751378,-73.978507
11351,40.781703,-73.831698
10043,40.780751,-73.977182
10461,40.842917,-73.83819
11208,40.672666,-73.87248000000001
11213,40.670937,-73.93459
11001,40.7232,-73.70475
10167,40.754862,-73.97495
10169,40.754463,-73.97606
11358,40.760521999999995,-73.79612
11424,40.651378,-73.870779
10172,40.755494,-73.97447
10199,40.750308000000004,-74.00058
11225,40.662892,-73.95509
10292,40.780751,-73.977182
10023,40.776099,-73.98285
11101,40.745340999999996,-73.93907
10035,40.802395000000004,-73.93359
11245,40.645099,-73.945032
11429,40.708833,-73.73903
10467,40.872265000000006,-73.86936999999999
10261,40.780751,-73.977182
11231,40.6788,-74.00254
11380,40.651378,-73.870779
10013,40.720665999999994,-74.00525999999999
10129,40.780751,-73.977182
11243,40.645099,-73.945032
10152,40.758611,-73.97223000000001
10132,40.780751,-73.977182
10031,40.826201,-73.94879
10003,40.732509,-73.98935
11693,40.596959000000005,-73.81978000000001
10151,40.763419,-73.97397099999999
10271,40.708669,-74.01043
11236,40.640527,-73.90361999999999
11241,40.645099,-73.945032
11203,40.649059,-73.93304
11206,40.702348,-73.94288
11436,40.674146,-73.79687
10257,40.780751,-73.977182
10462,40.842172999999995,-73.85862
11105,40.774685999999996,-73.90816
10020,40.758666999999996,-73.98024000000001
11247,40.645099,-73.945032
11232,40.655481,-74.00424
10469,40.868643,-73.84735
11362,40.759686,-73.73321999999999
11204,40.618944,-73.98473
10280,40.707467,-74.0178
10022,40.759015000000005,-73.96732
10171,40.756099,-73.97400999999999
10302,40.631127,-74.13715
10111,40.759235,-73.97775
10197,40.780751,-73.977182
10473,40.818514,-73.85893
10274,40.780751,-73.977182
11256,40.645099,-73.945032
11423,40.714261,-73.76824
10006,40.707904,-74.01342
11373,40.736076000000004,-73.87804
10313,40.564393,-74.146836
11103,40.762968,-73.91091
10196,40.780751,-73.977182
11691,40.60002,-73.75962
10170,40.752859,-73.97608000000001
11426,40.732239,-73.72108
10301,40.631775,-74.09432
10275,40.780751,-73.977182
11239,40.645848,-73.87919000000001
10098,40.748181,-73.988421
10115,40.810906,-73.96375
11220,40.641436,-74.01574000000001
11352,40.651378,-73.870779
10103,40.760915000000004,-73.97785
10005,40.706019,-74.00858000000001
10249,40.780751,-73.977182
11439,40.722008,-73.79082199999999
10002,40.717040000000004,-73.987
10090,40.780751,-73.977182
10156,40.780751,-73.977182
10184,40.780751,-73.977182
11221,40.691234,-73.92636999999999
10046,40.780751,-73.977182
10033,40.848764,-73.93496
11096,40.618206,-73.74762
11302,40.75945,-73.715016
10019,40.765714,-73.9856
10047,40.780751,-73.977182
10095,40.748181,-73.988421
10164,40.780751,-73.977182
11363,40.772636,-73.74644
10175,40.754305,-73.979782
10279,40.713062,-74.00856999999999
10155,40.761103999999996,-73.968036
11217,40.68209,-73.97783000000001
11355,40.749463,-73.81940999999999
10108,40.780751,-73.977182
10112,40.759291,-73.97979000000001
10463,40.881085999999996,-73.90749
10055,40.780751,-73.977182
11434,40.674888,-73.7727
10211,40.780751,-73.977182
10015,40.780751,-73.977182
10451,40.819728999999995,-73.9223
11224,40.576589,-73.99172
11223,40.598141999999996,-73.97229
11422,40.662538,-73.73514
10032,40.840686,-73.94154
11361,40.763177,-73.77391999999999
10265,40.780751,-73.977182
10179,40.780751,-73.977182
10158,40.749435,-73.9758
10045,40.70859,-74.008687
10124,40.780751,-73.977182
10069,40.775477,-73.9905
10105,40.762808,-73.978534
10161,40.780751,-73.977182
11249,40.645099,-73.945032
11427,40.728235,-73.74781999999999
10306,40.569394,-74.11785
10474,40.81321,-73.88755
10460,40.84095,-73.88036
10470,40.900628999999995,-73.86072
10312,40.543116999999995,-74.17628
10272,40.780751,-73.977182
10277,40.780751,-73.977182
10305,40.599021,-74.07503
10096,40.780751,-73.977182
11356,40.785462,-73.84366
10304,40.60787,-74.08991
11414,40.658188,-73.84321
10041,40.703041999999996,-74.01009
10009,40.727092999999996,-73.97864
10260,40.780751,-73.977182
10269,40.780751,-73.977182
11405,40.651378,-73.870779
11251,40.645099,-73.945032
11235,40.583803,-73.95019
10212,40.780751,-73.977182
11242,40.645099,-73.945032
10021,40.76842,-73.96045
10303,40.629448,-74.16239
10499,40.851549,-73.840908
11209,40.62327,-74.0295
11421,40.690870000000004,-73.85828000000001
10030,40.818151,-73.94351
10285,40.71533,-74.016306
10307,40.508274,-74.24387
10008,40.780751,-73.977182
11212,40.662191,-73.91328
11366,40.726137,-73.79502
10113,40.780751,-73.977182
11354,40.767969,-73.82496
10472,40.830409,-73.86845
10107,40.766428999999995,-73.98272800000001
10087,40.780751,-73.977182
11419,40.688688,-73.82216
11428,40.719981,-73.74127
10101,40.780751,-73.977182
10027,40.812665,-73.95499000000001
10464,40.857017,-73.78903000000001
10185,40.780751,-73.977182
10165,40.752354,-73.9789
11374,40.724945,-73.8609
10282,40.717178999999994,-74.01433
11005,40.756983,-73.7148
10036,40.759510999999996,-73.99019
10174,40.751656,-73.97516
10117,40.780751,-73.977182
11109,40.651378,-73.870779
10242,40.780751,-73.977182
11229,40.599256,-73.94118
10311,40.605245000000004,-74.179485
10125,40.780751,-73.977182
11207,40.670874,-73.89424
10034,40.867653000000004,-73.92
10038,40.709677,-74.00365
11215,40.667508000000005,-73.9856
10154,40.757985999999995,-73.97267
11377,40.742869,-73.90377
11205,40.694214,-73.96529
11379,40.716028,-73.87925
10314,40.606336999999996,-74.14513000000001
10173,40.754302,-73.97955
11004,40.742944,-73.70956
11214,40.598994,-73.99611
11517,40.679845,-73.98641500000001
10133,40.780751,-73.977182
10001,40.750741999999995,-73.99653
11216,40.680398,-73.94824
11369,40.762854,-73.87051
11201,40.695285999999996,-73.98907
11416,40.683301,-73.8503
11286,40.658825,-74.00449499999999
11413,40.670138,-73.75140999999999
10309,40.529749,-74.21304
11370,40.763015,-73.89052
10213,40.780751,-73.977182
10082,40.780751,-73.977182
11357,40.784453000000006,-73.80922
10028,40.776777,-73.9541
10454,40.805968,-73.91628
10104,40.760943,-73.979908
11435,40.700068,-73.80986
11432,40.714144,-73.79324
10153,40.763742,-73.97268000000001
10120,40.750628999999996,-73.989426
10258,40.780751,-73.977182
10150,40.780751,-73.977182
10024,40.786387,-73.97709
10273,40.780751,-73.977182
11430,40.650519,-73.79567
11431,40.686903,-73.850143
10458,40.864166,-73.88880999999999
10079,40.780751,-73.977182
11234,40.618561,-73.9216
11412,40.697188,-73.75948000000001
11694,40.57649,-73.84721
10025,40.798502,-73.96811
10157,40.780751,-73.977182
10128,40.781894,-73.95039
11226,40.645255999999996,-73.95553000000001
10270,40.706925,-74.008154
11359,40.79278,-73.776701
11425,40.651378,-73.870779
11365,40.738983000000005,-73.79209
